By, より
Cancel, 取り消す
Click to comment, クリックして送信
Commented on post, 
Comments, コメント
Content, コンテンツ
Custom Slug, カスタムURL
Date, 日付
Delete, 削除
Delete comment, コメントを削除
Delete post, 投稿を削除
Do you want to delete this comment, 本当にこのコメントを削除しますか？
Do you want to delete this post, 本当にこの投稿を削除しますか？
Edit, 編集
Edit comment, コメントを編集
Edit post, 投稿を編集
Email, メールアドレス
Email address already registered, メールアドレスが登録済み
Email address is required, メールアドレスが必须
Full Name, 姓名
Home, ホーム
Incorrect user/password combination or invalid account, ユーザー名/パスワードが無効です。
Invalid arguments, 無効なパラメータ
List posts, 投稿の一覧
Login, ログイン
Logout, ログアウト
Name, 名前
Next, 次へ
Next post, 次の投稿
New comment, 新規コメント
No one has comment yet, まだコメントがありません
No one has post yet, まだ投稿がありません
No one has tags yet, まだタグがありません
Page not found, ページが見つかりません╯﹏╰
Password, パスワード
Posted, に投稿
Prev, 前へ
Previous post, 前の投稿
Published, 公開
Recent comments, 最近のコメント
Recent posts, 最近の投稿
Register, 登録
Request a new password, パスワード再発行を要求
Reset password, パスワードを再発行
RSS Syndication, RSSシンジケーション
says, 言う
Search, 検索
Search results for, 検索結果
Slug, URL
Status, ステータス
Submit comment, コメントを送信
Tag, タグ
Tags, タグ
Tags cloud, タグクラウド
Third-party login, サードパーティログイン
Text Type, テキストタイプ
Title, タイトル
Unpublished, 下書き
User does not exist, ユーザーが見つかりません
View more tags, タグをさらに表示
Vote, 投票
Write a new post, 新規投稿
