By, Par
Cancel, Annuler
Click to comment, Cliquez ici pour commenter
Commented on post, Commenté le billet
Comments, Commentaires
Content, Contenu
Custom slug, URL personnalisée
Date, Date
Delete, Supprimer
Delete comment, Supprimer le commentaire
Delete post, Supprimer le billet
Do you want to delete this comment, Voulez-vous supprimer ce commentaire
Do you want to delete this post, Voulez-vous supprimer ce billet
Edit, Edition
Edit comment, Modifier le commentaire
Edit post, Modifier le billet
Email, E-mail
E-mail address already registered, E-mail déjà enregistré
E-mail address is required, E-mail est nécessaire
Full name, Nom complet
Home, Accueil
Incorrect user/password combination or invalid account, Mauvaise combination nom d'utilisateur / mot de passe ou compte pas valide
Invalid arguments, Les arguments ne sont pas valides
List posts, Lister les billets
Login, Connexion
Logout, Déconnexion
Name, Nom
Next, Ensuite
Next post, Billet suivant
New comment, Nouveau commentaire
No one has commented yet, Personne n'a encore commenté
No one has posted yet, Pas encore de billets
No one has added any tags yet, Pas encore de mots-clés
Page not found, Page non trouvée
Password, Mot de passe
Posted, Publié
Prev, Précédent
Previous post, Billet précédent
Recent comments, Commentaires récents
Recent posts, Billets récents
Register, Enregistrer
Request a new password, Demander un nouveau mot de passe
Reset password, Réinitialiser mot de passe
RSS Syndication, Syndication RSS
says, dit
Search, Recherche
Search results for, Résultats de la recherche pour
Slug, URL
Status, Etat
Submit comment, Commenter
Tag, Mot-clé
Tags, Mots-clés
Tag cloud, Nuage de mots-clés
Third-party login, Connexion avec
Text type, Type de texte
Title, Titre
User does not exist, L'utilisateur n'existe pas
View more tags, Voir plus de tags
Vote, Voter
Write a new post, Ecrire un nouveau billet
