Account confirmation,Confirmação de conta
By,Por
Cancel,Cancelar
Change language,Alterar idioma
Click to comment,Faça click para comentar
Commented on post,Comentou a publicação
Comments,Comentários
Confirm your account,Confirmar sua conta de usuário
Content,Conteúdo
Content is required,Conteúdo é obrigatório
Custom Slug,URL personalizado
Date,Data
Delete,Apagar
Delete comment,Apagar comentario
Delete post,Apagar publicação
Do you want to delete this comment,Você deseia tira este comentário?
Do you want to delete this post,Deseia apagar esta publicação?
Do you want to reload translations?,Você quer recarregar as traduções?
Edit,Editar
Edit comment,Editar comentário
Edit post,Edita publicação
Email,E-mail
Email address already registered,Endereço de e-mail já registrado
Email address is invalid,Endereço de e-mail é inválido
Email address is required,Endereço de e-mail é necessário
Full Name,Nome completo
Full Name is required,Nome completo é obrigatório
Home,Inicio
Incorrect user/password combination or invalid account,usuário ou senha incorreta ou conta inválido
Invalid arguments,Argumentos inválidos
Invalid email address,Endereço de email inválido
Language,Idioma
Language is required,O idioma é necessario
List posts,Publicações
login,entre
Login,Entre
Logout,Sair
My account,Minha conta
Name,Nome
Name is required,Nome é obrigatório
Next,Próximo
Next post,Seguinte publicação
New comment,Novo comentário
No found results for,Não se encontrou resultados para
No one has commented yet,Ainda ninguém comentou
No one has posted yet,Ainda ninguém postou
No one has added any tags yet,Ainda ninguém tem nenhuma etiqueta
Page not found,Página não encontrada
Password,Senha
Password is required,A senha é requerida
Posted,Publicado
Previous,Anterior
Previous post,Post anterior
Published,Publicado
Recent comments,Comentários recentes
Recent posts,Posts recentes
Register,Registro
Reload translations,Atualizar traduções
Request a new password,Pedir uma nova senha
Reset password,Redefinir a senha
RSS Syndication,RSS Syndication
Save,Salvar
says,disse
Search,Procurar
Search results for,Resultados da pesquisa para
Slug,URL
Status,Estado
Status is required,Estado é necessário
Submit comment,Enviar comentário
Tag,Etiqueta
Tags,Etiquetas
Tag cloud,Nuvem de etiquetas
Tags are required,As etiquetas são necessárias
There are already an existing post with this title or slug,Já existe essa publicação registrada com o mesmo URL
Third-party login,Entrar atravéz de
Text Type,Tipo de texto
Text type is required,Tipo de texto é requerido
Title,Título
Title is required,O Título é necessário
Translations have been reloaded,As traduções foram recagerrada
Unpublished,Não publicado
User does not exist,Usuário não existe
View more tags,Ver mais etiquetas
Vote,Votar
Write a new post,Escrever novo post
Your account has been activated sucessfully. You can %s now,Tua conta foi ativada satisfatoriamente. Você pode %s agora.
