Account confirmation,تأكيد الحساب 
By,من قبل
Cancel,إلغاء
Change language,تغيير اللغة  
Click to comment,انقر للتعليق
Commented on post,التعليق على المشاركة
Comments,تعليقات
Confirm your account,أكد حسابك  
Content,المحتوى 
Content is required,المحتوى مطلوب
Custom Slug,عنوان مخصص
Date,التاريخ  
Delete,حذف
Delete comment,حذف التعليق
Delete post,حذف المشاركة
Do you want to delete this comment,هل تريد حذف هذا التعليق
Do you want to delete this post,هل تريد حذف هذه المشاركة
Do you want to reload translations?,هل تريد إعادة تحميل الترجمة ؟
Edit,تعديل
Edit comment,تعديل التعليق
Edit post,تعديل المشاركة
Email,البريد الإلكتروني
Email address already registered,عنوان البريد الالكتروني هذا مستخدم
Email address is invalid,عنوان البريد الإلكتروني غير صالح
Email address is required,مطلوب عنوان البريد الإلكتروني
Full Name,الاسم الكامل
Full Name is required,مطلوب ادخال الاسم الكامل
Home,الصفحة الرئسية 
Incorrect user/password combination or invalid account,المستخدم / كلمة المرور غير صحيحة أو مزيج حساب غير صالح
Invalid arguments,بيانات خاطئة
Invalid email address,عنوان بريد إلكتروني غير صالح
Language,اللغة 
Language is required,مطلوب إختيار اللغة  
List posts,قائمة المشاركات
login,دخول
Login,دخول
Logout,خروج
My account,حسابي
Name,الإسم
Name is required,مطلوب إدخال الإسم 
Next,التالي
Next post,المشاركة  التالية
New comment,تعليق جديد
No found results for,لايوجد نتائج لل
No one has commented yet,لم يتم التعليق بعد 
No one has posted yet,"لم يقم احد بالمشاركة بعد
"
No one has added any tags yet,لم يقم أحد بالتعليم بعد 
Page not found,الصفحة غير موجودة
Password,كلمة المرور
Password is required,مطلوب إدخال كلمة المرو
Posted,شارك
Previous,السابق 
Previous post,المشاركة السابقة 
Published,نشر 
Recent comments,التعليقات الأخيرة 
Recent posts,المشاركات الأخيرة
Register,تسجيل
Reload translations,اعادة تحميل الترجمة
Request a new password,طلب كلمة مرور جديدة
Reset password,اعادة ضبط كلمة السر
RSS Syndication,تلقيم RSS
Save,حفظ
says,يقول
Search,البحث
Search results for,نتائج البحث عن
Slug,العنوان المختصر
Status,ستاتوس
Status is required,مطلوب الستاتوس  
Submit comment,إرسال تعليق
Tag,علامة
Tags,علامات 
Tag cloud,غيمة وسوم
Tags are required,غيمة الوسوم مطلوبة 
There are already an existing post with this title or slug,"توجد هناك مشاركة بنفس العنوان
او تحمل نفس العنوان"
Third-party login,دخول طرف ثالث
Text Type,نوع النص
Text type is required,مطلوب نوع النص  
Title,عنوان
Title is required,العنوان مطلوب 
Translations have been reloaded,لقد تم إعادة تحميل الترجمة 
Unpublished,غير منشورة
User does not exist,المستخدم غير موجود 
View more tags,عرض المزيد من العلامات
Vote,التصويت  
Write a new post,كتابة مشاركة جديدة
Your account has been activated sucessfully. You can %s now,تم تفعيل حسابك بنجاح. يمكنك٪ S الآن
