Account confirmation, 帳號確認
By, 來自
Cancel, 取消
Change language 改變語言
Click to comment, 點擊發表評論
Commented on post, 評論已經發表文章
Comments, 評論
Confirm your account, 提交你的帳號
Content is required, 內容是必填項
Content, 內容
Custom Slug, 自定義URL
Date, 日期
Delete comment, 删除評論
Delete post, 删除文章
Delete, 刪除
Do you want to delete this comment, 你真的要刪除這個評論嗎？
Do you want to delete this post, 你真的要刪除這篇文章嗎？
Edit comment, 編輯評論
Edit post, 編輯文章
Edit, 編輯
Email address already registered, 該電子郵箱地址已經被註冊
Email address is invalid , 電子郵件地址是必填項
Email address is required, 電子郵箱地址是必填項
Email, 電子郵箱
Full Name is required, 完整姓名是必填項
Full Name, 完整姓名
Home, 主頁
Incorrect user/password combination or invalid account, 不正確的用戶名/密碼組合或者無效帳戶
Invalid arguments, 無效的參數
Invalid email address, 無效的電子郵件地址
Language, 語言
Language is required, 語言是必填項
List posts, 文章列表
login, 登入
Login, 登入
Logout, 登出
My account, 我的帳號
Name is required, 用戶名是必須的
Name, 用戶名
New comment, 新評論
Next post, 下一篇文章
Next, 下一個
No found results for, 找不到任何結果LOL
No one has added any tags yet, 暫時沒有任何標籤
No one has commented yet, 暫時沒有任何評論
No one has posted yet, 暫時沒有任何文章
Page not found, 頁面找不到了╯﹏╰
Password is required, 密碼是必填項
Password, 密碼
Posted, 發表於
Previous post, 前一篇文章
Prev, 上一個
Published, 發佈
Recent comments, 最新評論
Recent posts, 最新文章
Register, 註冊
Request a new password, 申請修改密碼
Reset password, 重置密碼
RSS Syndication, RSS聚合
Save, 保存
says, 說
Search results for, 搜索結果
Search, 搜索
Slug, URL
Status is required, 狀態是必填項
Status, 狀態
Submit comment, 提交評論
Tag cloud, 標籤雲
Tags are required, 標籤是必填項
Tags, 標籤
Tag, 標籤
Text type is required 文本類型是必填項
Text Type, 文本類型
There are already an existing post with this title or slug, 已經有文章的標題或自定義URL和現在這個一樣，換一個吧:)
Third-party login, 第三方登陸
Title is required, 標題是必填項
Title, 標題
Unpublished, 草稿
User does not exist, 該用戶不存在
View more tags, 瀏覽更多標籤
Vote, 頂
Write a new post, 發表新文章
Your account has been activated sucessfully. You can %s now, 你的帳號已經激活成功！ 你現在可以%s
