Account confirmation,Conferma dell'account
Cancel,Cancellare
Change language,Cambiare lingua
Click to comment,Cliccare il commento
Commented on post,Post commentato
Comments,Commenti
Confirm your account,Confermare il proprio account
Content,Contenuto
Content is required,Il contenuto richiesto è
Date,Data
Delete,Elimina
Delete comment,Elimina il commento
Delete post,Elimina il post
Do you want to delete this comment,Tu vuoi cancellare questo commento
Do you want to delete this post,Tu vuoi cancellare questo post
Do you want to reload translations?,Tu vuoi ricaricare la traduzione
Edit,Modificare
Edit comment,Commento modificato
Edit post,Post modificato
Email,Posta elettronica
Email address already registered,Indirizzo di posta elettronica già registrato
Email address is invalid,l'indirizzo di posta elettronica è errato
Email address is required,l'indirizzo di posta elettronica richiesto è
Full Name,Nome e cognome (nome completo)
Full Name is required,Nome e cognome (nome completo) richiesto è
Home,Inizio
Incorrect user/password combination or invalid account,Errata combinazione utente/parola segreta o nome non valido
Invalid arguments,Argomento non valido
Invalid email address,Indirizzo di posta elettronica invalido
Language,Lingua
Language is required,La lingua è necessaria
List posts,Messaggi di lista
login,Dati nome
Login,Dati account(nome)
Logout,Uscire dall'account
My account,Il mio account
Name,Nome
Name is required,Il nome è richiesto
Next,Prossimo
Next post,Prossimo post
New comment,Nuovo commento
No found results for,Non trovare il risultato per
No one has posted yet,Nessuno ha pubblicato
Page not found,Pagina non trovata
Password,Parola segreta
Password is required,La parola segreta richiesta è
Posted,Pubblicato
Previous,Precedente
Previous post,Precedente post
Published,Pubblicato
Recent comments,Commenti recente
Recent posts,Posts recenti
Register,Registrare
Reload translations,Ricaricare la traduzione
Request a new password,Richiedere una nuova parola segreta
Reset password,Reimpostare la parola segreta
Save,Salvare
says,Dire
Search,Cercare
Search results for,I risultati di ricerca per
Status,Stato
Status is required,Lo stato richiesto è
Submit comment,Commento sottoposto
Tag,Etichetta
Tags,Etichette
Tags are required,L'etichette richieste sono
Text Type,Tipo di testo
Text type is required,Il tipo di testo richiesto
Title,Titolo
Title is required,Il titolo richiesto è
Translations have been reloaded,La traduzione è stata ricaricata
Unpublished,Inedito
User does not exist,Nome che non esiste piu'
View more tags,Vedere piu' posts
Vote,Votare
Write a new post,Scrivere un nuovo post
Your account has been activated sucessfully. You can %s now,Il tuoi nome è stato attivato con successo.Tu ora puoi
