By, von
Cancel, Abbestellen
Click to comment, Klicken um zu kommentieren
Commented on post, Kommentiert am Artikel
Comments, Kommentar
Content, Inhalt
Custom Slug, Benutzerdefinierte URL
Date, Datum
Delete, Löschen
Delete comment, löschen den Kommentar
Delete post, löschen den Artikel
Do you want to delete this comment, Wollen Sie wirklich diesen Kommentar löschen?
Do you want to delete this post, Wollen Sie wirklich diesen Artikel löschen?
Edit, Bearbeiten
Edit comment, Bearbeiten einen Kommentar
Edit post, Bearbeiten einen Artikel
Email, E-Mail
Email address already registered, E-Mail-Address ist berets registriert
Email address is required, E-Mail-Address ist erforderlich
Full Name, vollständigen Namen
Home, Home
Incorrect user/password combination or invalid account, Falscher Benutzername / Passwort-Kombination oder ungültiges Konto
Invalid arguments, Ungültige Parameter
List posts, Artikel Liste
Login, Anmelden
Logout, Abmelden
Name, Name
Next, Nechste
Next post, Nächster Artikel
New comment, Neuer Kommentar
No one has commented yet, Kein Kommentar
No one has posted yet, Kein Artikel
No one has added any tags yet, kein Tag
Page not found, Die Seite ist nie gefunden
Password, Kennword
Posted, Veröffentlicht in
Prev, früher
Previous post, Vorherige Artikel
Published, Veröffentlichen
Recent comments, Neueste Kommentare
Recent posts, Neueste Artikel
Register, Registrieren
Request a new password, Neues Passwort anfordern
Reset password, Kennwort zurücksetzen
RSS Syndication, RSS-Synchronisation
says, sagt
Search, Search
Search results for, Search results for
Slug, URL
Status, Status
Submit comment, einen Kommentar schreiben
Tag, Tag
Tags, Tags
Tag cloud, Tag cloud
Third-party login, Third-party login
Text Type, Text Type
Title, Titel
Unpublished, Draft
User does not exist, Der Benutzer ist nicht vorhanden
View more tags, Browse more tags
Vote, Vote
Write a new post, schreiben einen neue Artikel
